,date,discount_ratio,discount_value,discount_volume,full_discount_value,full_preminum_value,full_value,preminum_ratio,preminum_value,preminum_volume,ratio,row_volume,value
129,2008-07-11,-1352.42430875,-4.96071933886,0.0,0.0,0.0,0.0,-544.988813469,-4.77592039484,0.0,-992.161835898,0.0,-4.55171186098
130,2008-07-18,-1250.13477217,0.0463511226637,0.0,0.0,0.0,0.0,-622.451565135,-0.188641627838,0.0,-964.189725286,0.0,-0.171288296104
131,2008-07-25,-1333.55473253,-1.0196459534,0.0,0.0,0.0,0.0,-591.602923953,1.16342590566,0.0,-1007.52146438,0.0,-0.311099920704
132,2008-08-01,-1235.36594793,1.5139080488,0.0,0.0,0.0,0.0,-506.401126945,1.38163257037,0.0,-899.011345019,0.0,1.25617605786
133,2008-08-08,-1258.68654742,-0.863383342489,0.0,0.0,0.0,0.0,-587.34952594,0.242307003289,0.0,-937.514812579,0.0,-0.4223913425
134,2008-08-15,-1329.27222541,-1.00042451233,0.0,0.0,0.0,0.0,-583.156664629,-0.546684327491,0.0,-969.134033826,0.0,-0.726823442079
135,2008-08-22,-1394.06739362,-0.883896661512,0.0,0.0,0.0,0.0,-558.733114275,-1.01469392723,0.0,-1005.62471514,0.0,-0.891496721206
136,2008-08-29,-1335.64600855,0.721330176095,0.0,0.0,0.0,0.0,-541.360188228,0.681033839509,0.0,-973.716140476,0.0,0.570923583312
137,2008-09-05,-1357.93562125,-2.59788137295,0.0,0.0,0.0,0.0,-641.798334459,-1.29448512417,0.0,-975.122504034,0.0,-1.6471694819
138,2008-09-12,-1656.15445649,-5.29858373632,0.0,0.0,0.0,0.0,-689.634233703,-3.23689918075,0.0,-1242.86963698,0.0,-4.62083300798
139,2008-09-19,-1778.36859343,-4.9675649239,0.0,0.0,0.0,0.0,-1041.50577571,-5.12598039821,0.0,-1373.6359493,0.0,-4.57618019171
140,2008-09-26,-1981.1310759,-5.62503684115,0.0,0.0,0.0,0.0,-1080.99051793,-4.32466265064,0.0,-1534.90939585,0.0,-4.67002745465
141,2008-10-03,-2060.41890468,-7.7240320307,0.0,0.0,0.0,0.0,-1089.8711744,-5.88637351768,0.0,-1613.28605632,0.0,-7.01198227573
142,2008-10-10,-3544.24559748,-32.086664071,0.0,0.0,0.0,0.0,-2245.47821184,-23.4313240777,0.0,-2864.50468516,0.0,-27.0955792005
143,2008-10-17,-1774.88337859,22.6617087475,0.0,0.0,0.0,0.0,-765.615404729,27.9318818602,0.0,-1311.30175861,0.0,24.344076684
144,2008-10-24,-2023.51328784,-8.14474875861,0.0,0.0,0.0,0.0,-1014.95357764,-4.94047586093,0.0,-1498.89622148,0.0,-6.62662415022
145,2008-10-31,-1501.70564941,11.1796292626,0.0,0.0,0.0,0.0,-583.586179638,9.17481557357,0.0,-1083.4395547,0.0,9.21996699809
146,2008-11-07,-1633.18730041,-1.90060892568,0.0,0.0,0.0,0.0,-655.864241376,-1.07799102955,0.0,-1193.69951751,0.0,-1.34640577728
147,2008-11-14,-1992.50134863,-8.72892068222,0.0,0.0,0.0,0.0,-1009.58956022,-7.28592103501,0.0,-1524.59352706,0.0,-7.73890083155
148,2008-11-21,-3033.39847485,-21.0153804589,0.0,0.0,0.0,0.0,-1916.6586866,-17.0898914646,0.0,-2562.44224061,0.0,-19.2459573697
149,2008-11-28,-2203.45287635,17.395904748,0.0,0.0,0.0,0.0,-993.821624137,18.941241668,0.0,-1673.44380841,0.0,17.4884013463
150,2008-12-05,-2290.74447814,-2.43691375378,0.0,0.0,0.0,0.0,-1161.3245399,-1.63859113679,0.0,-1757.53503239,0.0,-2.77793217468
151,2008-12-12,-2448.12517068,-2.51375037091,0.0,0.0,0.0,0.0,-1264.11585967,2.14188738703,0.0,-1941.14862483,0.0,-1.48378269406
152,2008-12-19,-1958.3938959,7.89072250601,0.0,0.0,0.0,0.0,-577.674544621,9.52377266202,0.0,-1377.31809288,0.0,8.67107571924
153,2008-12-26,-1684.41799118,2.8336640302,0.0,0.0,0.0,0.0,-456.144765144,1.37402735468,0.0,-1211.03780441,0.0,2.5979915498
154,2009-01-02,-1360.87898278,6.74522057542,0.0,0.0,0.0,0.0,-119.531656548,9.0344089443,0.0,-828.463187199,0.0,7.68095187692
155,2009-01-09,-1225.4791458,1.27534080617,0.0,0.0,0.0,0.0,-45.426831939,3.47532721268,0.0,-728.698833471,0.0,2.26429734262
156,2009-01-16,-1211.51594631,-3.03519361125,0.0,0.0,0.0,0.0,196.804138389,-1.651833482,0.0,-653.550707678,0.0,-2.10075107909
157,2009-01-23,-1164.0881276,-1.09081169908,0.0,0.0,0.0,0.0,314.128347137,-2.82547031684,0.0,-450.125275619,0.0,-0.712613921453
158,2009-01-30,-1007.01782708,1.55569534861,0.0,0.0,0.0,0.0,94.459955295,1.70897244279,0.0,-428.304406203,0.0,1.41915219479
159,2009-02-06,-1040.84881894,1.3115817026,0.0,0.0,0.0,0.0,123.390811385,2.35542205547,0.0,-375.686798635,0.0,1.83542561974
160,2009-02-13,-1061.71241305,-2.31611597588,0.0,0.0,0.0,0.0,-37.6283347964,-1.77923745979,0.0,-434.211083874,0.0,-2.2408924492
161,2009-02-20,-1649.47236695,-11.1023298685,0.0,0.0,0.0,0.0,-612.533036927,-12.4274251501,0.0,-1070.76816004,0.0,-11.3366443983
162,2009-02-27,-1600.69803851,-1.60695897893,0.0,0.0,0.0,0.0,-489.481893681,-1.18342174314,0.0,-980.54569419,0.0,-1.48459593848
163,2009-03-06,-2203.60544528,-10.9211265288,0.0,0.0,0.0,0.0,-987.957328463,-9.93464190042,0.0,-1603.45881425,0.0,-11.3887326677
164,2009-03-13,-1659.64078312,9.99104535361,0.0,0.0,0.0,0.0,-659.654551592,12.9862824252,0.0,-1099.04965448,0.0,10.6879880796
