,Ticker,Company,Country,Sector,Date,Weight
31,TLI US,Western Asset Corporate Loan F,United States,,2016-12-30,0.539199
32,ARDC US,Ares Dynamic Credit Allocation,United States,,2016-12-30,2.5173
33,EMD US,Western Asset Emerging Markets,United States,,2016-12-30,3.20944
34,BLW US,Blackrock Limited Duration Inc,United States,,2016-12-30,3.53553
35,EVV US,Eaton Vance Limited Duration I,United States,,2016-12-30,7.99826
36,BIT US,Blackrock Multi-Sector Incom,United States,,2016-12-30,4.42561
37,PFL US,Pimco Income Strategy Fund,United States,,2016-12-30,1.12964
38,EVF US,Eaton Vance Senior Income Trus,United States,,2016-12-30,1.24789
39,ERC US,Wells Fargo Advantage Multi-Se,United States,,2016-12-30,3.26069
0,BLW US,BLACKROCK LIMITED DURATION INC,United States,Limited Duration Bond Funds,2016-09-30,2.92459
1,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2016-09-30,4.36564
2,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2016-09-30,3.20544
3,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2016-09-30,4.92143
4,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2016-09-30,5.45241
5,ERC US,EVERGREEN MULTI0SECTOR INCOME FUND,United States,Senior Loan,2016-09-30,3.40648
6,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2016-09-30,2.06709
7,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2016-09-30,7.99951
8,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2016-09-30,2.9702
9,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2016-09-30,0.987907
10,FTF US,FRANKLIN TEMPLETON LTD DUR INCOME CF,United States,Limited Duration Bond Funds,2016-09-30,2.01965
